,Open,High,Low,Close,Volume,ReturnsPct,Volatility,Returns,RSI
2023-08-28,180.09,180.59,178.545,180.19,43820697.0,,,,
2023-08-25,177.38,179.15,175.82,178.61,51449594.0,-0.008768522115544575,,-1.579999999999984,
2023-08-24,180.674,181.104,176.01,176.38,54945798.0,-0.01248530317451435,,-2.230000000000018,
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,0.026873795214876983,,4.740000000000009,
2023-08-22,177.06,177.68,176.25,177.23,42084245.0,-0.021477473498233257,,-3.890000000000015,
2023-08-21,175.07,176.13,173.735,175.84,46311879.0,-0.007842915984878296,,-1.3899999999999864,
2023-08-18,172.3,175.1,171.96,174.49,61172150.0,-0.007677434030937236,,-1.3499999999999943,
2023-08-17,177.14,177.5054,173.48,174.0,66062882.0,-0.002808183850077417,,-0.4900000000000091,
2023-08-16,177.13,178.54,176.5,176.57,46964857.0,0.014770114942528778,,2.569999999999993,
2023-08-15,178.88,179.48,177.05,177.45,43622593.0,0.0049838590927111515,,0.8799999999999955,42.83472803347278
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,0.011327134404057526,,2.0100000000000193,48.272598201609114
2023-08-11,177.32,178.62,176.55,177.79,52036672.0,-0.009305694862364988,,-1.670000000000016,48.06786050895377
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,0.0010124303954104352,,0.18000000000000682,54.147104851330205
2023-08-09,180.87,180.93,177.01,178.19,60378492.0,0.0012361633983255516,,0.21999999999999886,40.0
2023-08-08,179.69,180.27,177.58,179.8,67823003.0,0.009035299399517527,,1.6100000000000136,60.388035569927304
2023-08-07,182.13,183.13,177.35,178.85,97576069.0,-0.005283648498331628,0.04756786474127712,-0.950000000000017,62.615255658004926
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,0.017556611685770385,0.04985159017414858,3.140000000000015,77.33236151603482
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,0.05044233199626347,0.06769388104442084,9.179999999999978,88.30879071842915
2023-08-02,195.04,195.18,191.8507,192.58,50389327.0,0.007375634252236418,0.06380092829794728,1.410000000000025,87.67058823529402
