,Open,High,Low,Close,Volume,ReturnsPct,Volatility,Returns,RSI,Move_avg,Std_dev,BB_up,BB_low
2023-08-25 19:59:00,363.76,363.8,363.72,363.72,644.0,,,,,,,,
2023-08-25 19:58:00,363.76,363.76,363.71,363.76,225.0,0.00010997470581752822,,0.03999999999996362,,,,,
2023-08-25 19:57:00,363.8,363.8,363.72,363.72,363.0,-0.00010996261271156715,,-0.03999999999996362,,,,,
2023-08-25 19:56:00,363.79,363.8,363.77,363.8,1004.0,0.00021994941163527848,,0.07999999999998408,,,,,
2023-08-25 19:55:00,363.75,363.79,363.75,363.79,106.0,-2.748763056625858e-05,,-0.009999999999990905,,,,,
2023-08-25 19:54:00,363.74,363.75,363.74,363.75,1639.0,-0.00010995354462750573,,-0.040000000000020464,,,,,
2023-08-25 19:53:00,363.74,363.75,363.73,363.75,149.0,0.0,,0.0,,,,,
2023-08-25 19:52:00,363.72,363.73,363.72,363.73,492.0,-5.498281786942005e-05,,-0.01999999999998181,,,,,
2023-08-25 19:51:00,363.71,363.72,363.71,363.72,64.0,-2.7492920572913526e-05,,-0.009999999999990905,,,,,
2023-08-25 19:50:00,363.7,363.71,363.7,363.71,587.0,-2.7493676454493077e-05,,-0.010000000000047748,47.999999999989996,,,,
2023-08-25 19:49:00,363.72,363.72,363.7,363.72,226.0,2.7494432377483946e-05,,0.010000000000047748,50.0,,,,
2023-08-25 19:48:00,363.72,363.72,363.71,363.72,355.0,0.0,,0.0,40.90909090910031,,,,
2023-08-25 19:47:00,363.7,363.7,363.7,363.7,88.0,-5.4987352908986153e-05,,-0.020000000000038654,44.999999999992895,,,,
2023-08-25 19:46:00,363.7,363.7,363.7,363.7,823.0,0.0,,0.0,8.33333333336492,,,,
2023-08-25 19:45:00,363.72,363.73,363.71,363.71,174.0,2.749518834210818e-05,,0.009999999999990905,16.66666666668246,,,,
2023-08-25 19:44:00,363.74,363.74,363.7,363.74,136.0,8.248329713245184e-05,0.0003290917354698498,0.03000000000002956,45.45454545455485,,,,
2023-08-25 19:43:00,363.73,363.735,363.73,363.73,1292.0,-2.749216473307836e-05,0.0003096512067434503,-0.009999999999990905,41.66666666668245,,,,
2023-08-25 19:42:00,363.73,363.75,363.73,363.735,657.0,1.3746460286512274e-05,0.00028895413033541185,0.0049999999999954525,52.380952380947214,,,,
2023-08-25 19:41:00,363.735,363.75,363.73,363.74,1018.0,1.3746271323888948e-05,0.00017332771380804406,0.0049999999999954525,59.99999999997726,,,,
2023-08-25 19:40:00,363.73,363.74,363.72,363.73,293.0,-2.749216473307836e-05,0.00017332817612383401,-0.009999999999990905,60.00000000001137,363.73375,0.026401505140509558,363.786553010281,363.68094698971896
2023-08-25 19:39:00,363.715,363.73,363.7,363.73,1524.0,0.0,0.00013717291902140742,0.0,55.55555555554854,363.73425,0.026221475730282818,363.78669295146057,363.6818070485394
2023-08-25 19:38:00,363.715,363.715,363.7,363.715,786.0,-4.123938085953682e-05,0.00014210284017247113,-0.015000000000043201,47.61904761902442,363.73199999999997,0.025823286105054005,363.7836465722101,363.68035342778984
2023-08-25 19:37:00,363.7,363.71,363.7,363.71,245.0,-1.3747027205357476e-05,0.0001326724475295851,-0.0049999999999954525,55.55555555554854,363.7315,0.026162447978179976,363.78382489595634,363.6791751040436
2023-08-25 19:36:00,363.655,363.7,363.65,363.7,13.0,-2.7494432377372924e-05,0.00013267273844834272,-0.009999999999990905,50.0,363.7265,0.02152721655561443,363.76955443311124,363.68344556688874
2023-08-25 19:35:00,363.655,363.655,363.655,363.655,1.0,-0.00012372834753926476,0.00017826096866829097,-0.045000000000015916,29.62962962963431,363.71975000000003,0.021732524740137878,363.7632150494803,363.67628495051974
2023-08-25 19:34:00,363.7,363.7,363.65,363.65,603.0,-1.3749295348586266e-05,0.0001736580603814376,-0.0049999999999954525,9.0909090908997,363.71475,0.02557110828552723,363.76589221657105,363.6636077834289
2023-08-25 19:33:00,363.7,363.7,363.7,363.7,139.0,0.00013749484394343092,0.0002298744351135342,0.05000000000001137,39.999999999992426,363.71225,0.024358884686315023,363.7609677693726,363.66353223062737
2023-08-25 19:32:00,363.66,363.66,363.65,363.65,700.0,-0.00013747594171020783,0.0002621422427749109,-0.05000000000001137,28.205128205124467,363.70825,0.027638407677567405,363.76352681535514,363.6529731846449
2023-08-25 19:31:00,363.675,363.675,363.675,363.675,3.0,6.874742197182648e-05,0.0002734861873355976,0.025000000000034106,34.88372093023932,363.706,0.02845125101317715,363.76290250202635,363.6490974979737
2023-08-25 19:30:00,363.7,363.7,363.7,363.7,85.0,6.874269608858619e-05,0.00028165782230045927,0.024999999999977263,43.47826086956092,363.70550000000003,0.028465121779101724,363.76243024355824,363.6485697564418
2023-08-25 19:29:00,363.69,363.7,363.69,363.7,29.0,0.0,0.00026689354236895545,0.0,43.47826086956092,363.7045,0.028279618846612363,363.76105923769325,363.64794076230675
2023-08-25 19:28:00,363.675,363.7,363.675,363.675,338.0,-6.87379708550484e-05,0.00027334125613303706,-0.024999999999977263,41.66666666667456,363.70225,0.028767443221083613,363.75978488644216,363.6447151135578
2023-08-25 19:27:00,363.66,363.66,363.66,363.66,91.0,-4.1245617653062894e-05,0.0002737370271882877,-0.014999999999986358,40.00000000000909,363.70025,0.030282659620466817,363.7608153192409,363.63968468075905
2023-08-25 19:26:00,363.62,363.67,363.62,363.67,614.0,2.7498212616050566e-05,0.00027555618071002164,0.009999999999990905,44.00000000000546,363.69875,0.031029485129042366,363.7608089702581,363.63669102974194
2023-08-25 19:25:00,363.62,363.62,363.62,363.62,1.0,-0.00013748728242635178,0.00030246722845475376,-0.05000000000001137,43.137254901966905,363.69425,0.035514081714240926,363.7652781634285,363.62322183657153
