,Open,High,Low,Close,Volume,ReturnsPct,Volatility,Returns,RSI
2023-08-28,442.24,443.4,439.9728,442.76,61595393.0,,,,
2023-08-25,438.68,441.3,435.0,439.97,102325103.0,-0.006301382238684483,,-2.7899999999999636,
2023-08-24,444.69,445.22,436.855,436.89,88517272.0,-0.007000477305270869,,-3.080000000000041,
2023-08-23,439.25,443.67,439.1,443.03,68441021.0,0.014053880839570487,,6.139999999999986,
2023-08-22,441.18,441.18,437.57,438.15,65062861.0,-0.011015055413854613,,-4.8799999999999955,
2023-08-21,437.55,440.11,435.32,439.34,68718957.0,0.002715964852219477,,1.1899999999999977,
2023-08-18,433.37,437.57,433.01,436.5,98851960.0,-0.006464241817271343,,-2.839999999999975,
2023-08-17,441.16,441.43,435.75,436.29,95711315.0,-0.0004810996563573422,,-0.20999999999997954,
2023-08-16,442.46,444.18,439.53,439.64,80107206.0,0.007678379059799623,,3.349999999999966,
2023-08-15,446.27,446.64,442.3,442.89,75707534.0,0.0073924119734327665,,3.25,50.23440317345833
2023-08-14,444.7,448.11,444.38,448.11,47867441.0,0.01178622231253823,,5.220000000000027,58.11836115326257
2023-08-11,443.97,446.7007,443.345,445.65,68690902.0,-0.005489723505389343,,-2.4600000000000364,58.70631514408331
2023-08-10,448.19,451.7,444.7,445.91,93005495.0,0.0005834174800853908,,0.26000000000004775,65.13422818791952
2023-08-09,449.03,449.1999,444.96,445.75,78789575.0,-0.000358816801596773,,-0.160000000000025,55.709487825356895
2023-08-08,448.08,450.6952,445.2705,448.75,71361324.0,0.006730229949523325,,3.0,74.15679124886051
2023-08-07,448.71,450.865,447.99,450.71,58357464.0,0.004367688022284044,0.028952688338709932,1.9599999999999795,75.03302509907527
2023-08-04,450.72,452.895,446.27,446.81,100128902.0,-0.008653014133256365,0.02969268763993077,-3.8999999999999773,71.68700042069833
2023-08-03,448.04,450.79,447.37,448.84,64419692.0,0.0045433181889393826,0.028558968918357186,2.0299999999999727,74.52129738178964
2023-08-02,453.25,453.52,449.3499,450.13,93933369.0,0.0028740753943499175,0.025449205579485608,1.2900000000000205,72.29069273268162
2023-08-01,456.27,457.25,455.49,456.48,55502199.0,0.014107035745229313,0.025052599930273388,6.350000000000023,75.51633496057075
2023-07-31,457.41,458.16,456.045,457.79,62040449.0,0.002869786189975576,0.025052812360199603,1.3100000000000023,71.30281690140839
2023-07-28,455.88,457.78,452.4918,456.92,80011790.0,-0.0019004346971318586,0.023626396608088424,-0.8700000000000045,76.66824420255563
